problem_idx,description,type,gold,question,question_orig,options,solved
91,JEE Adv 2019 Paper 2,MCQ(multiple),ABC,"Let

\[
\begin{aligned}

& P_{1}=I=\left[\begin{array}{lll}

1 & 0 & 0 \\

0 & 1 & 0 \\

0 & 0 & 1

\end{array}\right], \quad P_{2}=\left[\begin{array}{lll}

1 & 0 & 0 \\

0 & 0 & 1 \\

0 & 1 & 0

\end{array}\right], \quad P_{3}=\left[\begin{array}{lll}

0 & 1 & 0 \\

1 & 0 & 0 \\

0 & 0 & 1

\end{array}\right], \\

& P_{4}=\left[\begin{array}{lll}

0 & 1 & 0 \\

0 & 0 & 1 \\

1 & 0 & 0

\end{array}\right], \quad P_{5}=\left[\begin{array}{lll}

0 & 0 & 1 \\

1 & 0 & 0 \\

0 & 1 & 0

\end{array}\right], \quad P_{6}=\left[\begin{array}{ccc}

0 & 0 & 1 \\

0 & 1 & 0 \\

1 & 0 & 0

\end{array}\right] \\

& \text { and } X=\sum_{k=1}^{6} P_{k}\left[\begin{array}{lll}

2 & 1 & 3 \\

1 & 0 & 2 \\

3 & 2 & 1

\end{array}\right] P_{k}^{T}

\end{aligned}
\]

where $P_{k}^{T}$ denotes the transpose of the matrix $P_{k}$. Then which of the following options is/are correct?","Let

\[
\begin{aligned}

& P_{1}=I=\left[\begin{array}{lll}

1 & 0 & 0 \\

0 & 1 & 0 \\

0 & 0 & 1

\end{array}\right], \quad P_{2}=\left[\begin{array}{lll}

1 & 0 & 0 \\

0 & 0 & 1 \\

0 & 1 & 0

\end{array}\right], \quad P_{3}=\left[\begin{array}{lll}

0 & 1 & 0 \\

1 & 0 & 0 \\

0 & 0 & 1

\end{array}\right], \\

& P_{4}=\left[\begin{array}{lll}

0 & 1 & 0 \\

0 & 0 & 1 \\

1 & 0 & 0

\end{array}\right], \quad P_{5}=\left[\begin{array}{lll}

0 & 0 & 1 \\

1 & 0 & 0 \\

0 & 1 & 0

\end{array}\right], \quad P_{6}=\left[\begin{array}{ccc}

0 & 0 & 1 \\

0 & 1 & 0 \\

1 & 0 & 0

\end{array}\right] \\

& \text { and } X=\sum_{k=1}^{6} P_{k}\left[\begin{array}{lll}

2 & 1 & 3 \\

1 & 0 & 2 \\

3 & 2 & 1

\end{array}\right] P_{k}^{T}

\end{aligned}
\]

where $P_{k}^{T}$ denotes the transpose of the matrix $P_{k}$. Then which of the following options is/are correct?

(A) If $X\left[\begin{array}{l}1 \\ 1 \\ 1\end{array}\right]=\alpha\left[\begin{array}{l}1 \\ 1 \\ 1\end{array}\right]$, then $\alpha=30$

(B) $X$ is a symmetric matrix

(C) The sum of diagonal entries of $X$ is 18

(D) $X-30 I$ is an invertible matrix","{""A"": ""If $X\\left[\\begin{array}{l}1 \\\\ 1 \\\\ 1\\end{array}\\right]=\\alpha\\left[\\begin{array}{l}1 \\\\ 1 \\\\ 1\\end{array}\\right]$, then $\\alpha=30$"", ""B"": ""$X$ is a symmetric matrix"", ""C"": ""The sum of diagonal entries of $X$ is 18"", ""D"": ""$X-30 I$ is an invertible matrix""}",no
92,JEE Adv 2019 Paper 2,MCQ(multiple),AB,"Let $f: \mathbb{R} \rightarrow \mathbb{R}$ be a function. We say that $f$ has

PROPERTY 1 if $\lim _{h \rightarrow 0} \frac{f(h)-f(0)}{\sqrt{|h|}}$ exists and is finite, and

PROPERTY 2 if $\lim _{h \rightarrow 0} \frac{f(h)-f(0)}{h^{2}}$ exists and is finite.

Then which of the following options is/are correct?","Let $f: \mathbb{R} \rightarrow \mathbb{R}$ be a function. We say that $f$ has

PROPERTY 1 if $\lim _{h \rightarrow 0} \frac{f(h)-f(0)}{\sqrt{|h|}}$ exists and is finite, and

PROPERTY 2 if $\lim _{h \rightarrow 0} \frac{f(h)-f(0)}{h^{2}}$ exists and is finite.

Then which of the following options is/are correct?

(A) $f(x)=|x|$ has PROPERTY 1

(B) $f(x)=x^{2 / 3}$ has PROPERTY 1

(C) $f(x)=x|x|$ has PROPERTY 2

(D) $f(x)=\sin x$ has PROPERTY 2","{""A"": ""$f(x)=|x|$ has PROPERTY 1"", ""B"": ""$f(x)=x^{2 / 3}$ has PROPERTY 1"", ""C"": ""$f(x)=x|x|$ has PROPERTY 2"", ""D"": ""$f(x)=\\sin x$ has PROPERTY 2""}",no
93,JEE Adv 2019 Paper 2,MCQ(multiple),BCD,"Let

\[
f(x)=\frac{\sin \pi x}{x^{2}}, \quad x>0
\]

Let $x_{1}<x_{2}<x_{3}<\cdots<x_{n}<\cdots$ be all the points of local maximum of $f$ and $y_{1}<y_{2}<y_{3}<\cdots<y_{n}<\cdots$ be all the points of local minimum of $f$.

Then which of the following options is/are correct?","Let

\[
f(x)=\frac{\sin \pi x}{x^{2}}, \quad x>0
\]

Let $x_{1}<x_{2}<x_{3}<\cdots<x_{n}<\cdots$ be all the points of local maximum of $f$ and $y_{1}<y_{2}<y_{3}<\cdots<y_{n}<\cdots$ be all the points of local minimum of $f$.

Then which of the following options is/are correct?

(A) $x_{1}<y_{1}$

(B) $x_{n+1}-x_{n}>2$ for every $n$

(C) $\quad x_{n} \in\left(2 n, 2 n+\frac{1}{2}\right)$ for every $n$

(D) $\left|x_{n}-y_{n}\right|>1$ for every $n$","{""A"": ""$x_{1}<y_{1}$"", ""B"": ""$x_{n+1}-x_{n}>2$ for every $n$"", ""C"": ""$\\quad x_{n} \\in\\left(2 n, 2 n+\\frac{1}{2}\\right)$ for every $n$"", ""D"": ""$\\left|x_{n}-y_{n}\\right|>1$ for every $n$""}",no
94,JEE Adv 2019 Paper 2,MCQ(multiple),AD,"For $a \in \mathbb{R},|a|>1$, let

\[
\lim _{n \rightarrow \infty}\left(\frac{1+\sqrt[3]{2}+\cdots+\sqrt[3]{n}}{n^{7 / 3}\left(\frac{1}{(a n+1)^{2}}+\frac{1}{(a n+2)^{2}}+\cdots+\frac{1}{(a n+n)^{2}}\right)}\right)=54
\]

Then the possible value(s) of $a$ is/are","For $a \in \mathbb{R},|a|>1$, let

\[
\lim _{n \rightarrow \infty}\left(\frac{1+\sqrt[3]{2}+\cdots+\sqrt[3]{n}}{n^{7 / 3}\left(\frac{1}{(a n+1)^{2}}+\frac{1}{(a n+2)^{2}}+\cdots+\frac{1}{(a n+n)^{2}}\right)}\right)=54
\]

Then the possible value(s) of $a$ is/are

(A) -9

(B) -6

(C) 7

(D) 8","{""A"": ""-9"", ""B"": ""-6"", ""C"": ""7"", ""D"": ""8""}",no
95,JEE Adv 2019 Paper 2,MCQ(multiple),ABD,"Let $f: \mathbb{R} \rightarrow \mathbb{R}$ be given by $f(x)=(x-1)(x-2)(x-5)$. Define

\[
F(x)=\int_{0}^{x} f(t) d t, \quad x>0 .
\]

Then which of the following options is/are correct?","Let $f: \mathbb{R} \rightarrow \mathbb{R}$ be given by $f(x)=(x-1)(x-2)(x-5)$. Define

\[
F(x)=\int_{0}^{x} f(t) d t, \quad x>0 .
\]

Then which of the following options is/are correct?

(A) $F$ has a local minimum at $x=1$

(B) $F$ has a local maximum at $x=2$

(C) $F$ has two local maxima and one local minimum in $(0, \infty)$

(D) $\quad F(x) \neq 0$ for all $x \in(0,5)$","{""A"": ""$F$ has a local minimum at $x=1$"", ""B"": ""$F$ has a local maximum at $x=2$"", ""C"": ""$F$ has two local maxima and one local minimum in $(0, \\infty)$"", ""D"": ""$\\quad F(x) \\neq 0$ for all $x \\in(0,5)$""}",no
96,JEE Adv 2019 Paper 2,MCQ(multiple),AC,"Three lines

\[
\begin{aligned}

L_{1}: & \vec{r}=\lambda \hat{i}, \lambda \in \mathbb{R}, \\

L_{2}: & \vec{r}=\hat{k}+\mu \hat{j}, \mu \in \mathbb{R} \text { and } \\

L_{3}: & \vec{r}=\hat{i}+\hat{j}+v \hat{k}, \quad v \in \mathbb{R}

\end{aligned}
\]

are given. For which point(s) $Q$ on $L_{2}$ can we find a point $P$ on $L_{1}$ and a point $R$ on $L_{3}$ so that $P, Q$ and $R$ are collinear?","Three lines

\[
\begin{aligned}

L_{1}: & \vec{r}=\lambda \hat{i}, \lambda \in \mathbb{R}, \\

L_{2}: & \vec{r}=\hat{k}+\mu \hat{j}, \mu \in \mathbb{R} \text { and } \\

L_{3}: & \vec{r}=\hat{i}+\hat{j}+v \hat{k}, \quad v \in \mathbb{R}

\end{aligned}
\]

are given. For which point(s) $Q$ on $L_{2}$ can we find a point $P$ on $L_{1}$ and a point $R$ on $L_{3}$ so that $P, Q$ and $R$ are collinear?

(A) $\hat{k}-\frac{1}{2} \hat{j}$

(B) $\hat{k}$

(C) $\hat{k}+\frac{1}{2} \hat{j}$

(D) $\hat{k}+\hat{j}$","{""A"": ""$\\hat{k}-\\frac{1}{2} \\hat{j}$"", ""B"": ""$\\hat{k}$"", ""C"": ""$\\hat{k}+\\frac{1}{2} \\hat{j}$"", ""D"": ""$\\hat{k}+\\hat{j}$""}",no
97,JEE Adv 2019 Paper 2,Numeric,6.2,"Suppose

\[
\operatorname{det}\left[\begin{array}{cc}

\sum_{k=0}^{n} k & \sum_{k=0}^{n}{ }^{n} C_{k} k^{2} \\

\sum_{k=0}^{n}{ }^{n} C_{k} k & \sum_{k=0}^{n}{ }^{n} C_{k} 3^{k}

\end{array}\right]=0
\]

holds for some positive integer $n$. Then what does $\sum_{k=0}^{n} \frac{{ }^{n} C_{k}}{k+1}$?","Suppose

\[
\operatorname{det}\left[\begin{array}{cc}

\sum_{k=0}^{n} k & \sum_{k=0}^{n}{ }^{n} C_{k} k^{2} \\

\sum_{k=0}^{n}{ }^{n} C_{k} k & \sum_{k=0}^{n}{ }^{n} C_{k} 3^{k}

\end{array}\right]=0
\]

holds for some positive integer $n$. Then what does $\sum_{k=0}^{n} \frac{{ }^{n} C_{k}}{k+1}$?",,no
98,JEE Adv 2019 Paper 2,Numeric,30,"Five persons $A, B, C, D$ and $E$ are seated in a circular arrangement. If each of them is given a hat of one of the three colours red, blue and green, then what is the number of ways of distributing the hats such that the persons seated in adjacent seats get different coloured hats?","Five persons $A, B, C, D$ and $E$ are seated in a circular arrangement. If each of them is given a hat of one of the three colours red, blue and green, then what is the number of ways of distributing the hats such that the persons seated in adjacent seats get different coloured hats?",,no
99,JEE Adv 2019 Paper 2,Numeric,422,"Let $|X|$ denote the number of elements in a set $X$. Let $S=\{1,2,3,4,5,6\}$ be a sample space, where each element is equally likely to occur. If $A$ and $B$ are independent events associated with $S$, then what is the number of ordered pairs $(A, B)$ such that $1 \leq|B|<|A|$?","Let $|X|$ denote the number of elements in a set $X$. Let $S=\{1,2,3,4,5,6\}$ be a sample space, where each element is equally likely to occur. If $A$ and $B$ are independent events associated with $S$, then what is the number of ordered pairs $(A, B)$ such that $1 \leq|B|<|A|$?",,no
100,JEE Adv 2019 Paper 2,Numeric,0,"What is the value of

\[
\sec ^{-1}\left(\frac{1}{4} \sum_{k=0}^{10} \sec \left(\frac{7 \pi}{12}+\frac{k \pi}{2}\right) \sec \left(\frac{7 \pi}{12}+\frac{(k+1) \pi}{2}\right)\right)
\]

in the interval $\left[-\frac{\pi}{4}, \frac{3 \pi}{4}\right]$?","What is the value of

\[
\sec ^{-1}\left(\frac{1}{4} \sum_{k=0}^{10} \sec \left(\frac{7 \pi}{12}+\frac{k \pi}{2}\right) \sec \left(\frac{7 \pi}{12}+\frac{(k+1) \pi}{2}\right)\right)
\]

in the interval $\left[-\frac{\pi}{4}, \frac{3 \pi}{4}\right]$?",,no
101,JEE Adv 2019 Paper 2,Numeric,0.5,"What is the value of the integral


\[
\int_{0}^{\pi / 2} \frac{3 \sqrt{\cos \theta}}{(\sqrt{\cos \theta}+\sqrt{\sin \theta})^{5}} d \theta
\]?","What is the value of the integral


\[
\int_{0}^{\pi / 2} \frac{3 \sqrt{\cos \theta}}{(\sqrt{\cos \theta}+\sqrt{\sin \theta})^{5}} d \theta
\]?",,no
102,JEE Adv 2020 Paper 1,MCQ,D,"Suppose $a, b$ denote the distinct real roots of the quadratic polynomial $x^{2}+20 x-2020$ and suppose $c, d$ denote the distinct complex roots of the quadratic polynomial $x^{2}-20 x+2020$. Then the value of

\[
a c(a-c)+a d(a-d)+b c(b-c)+b d(b-d)
\]

is","Suppose $a, b$ denote the distinct real roots of the quadratic polynomial $x^{2}+20 x-2020$ and suppose $c, d$ denote the distinct complex roots of the quadratic polynomial $x^{2}-20 x+2020$. Then the value of

\[
a c(a-c)+a d(a-d)+b c(b-c)+b d(b-d)
\]

is

(A) 0

(B) 8000

(C) 8080

(D) 16000","{""A"": ""0"", ""B"": ""8000"", ""C"": ""8080"", ""D"": ""16000""}",no
103,JEE Adv 2020 Paper 1,MCQ,C,"If the function $f: \mathbb{R} \rightarrow \mathbb{R}$ is defined by $f(x)=|x|(x-\sin x)$, then which of the following statements is TRUE?","If the function $f: \mathbb{R} \rightarrow \mathbb{R}$ is defined by $f(x)=|x|(x-\sin x)$, then which of the following statements is TRUE?

(A) $f$ is one-one, but NOT onto

(B) $f$ is onto, but NOT one-one

(C) $f$ is BOTH one-one and onto

(D) $f$ is NEITHER one-one NOR onto","{""A"": ""$f$ is one-one, but NOT onto"", ""B"": ""$f$ is onto, but NOT one-one"", ""C"": ""$f$ is BOTH one-one and onto"", ""D"": ""$f$ is NEITHER one-one NOR onto""}",no
104,JEE Adv 2020 Paper 1,MCQ,A,"Let the functions $f: \mathbb{R} \rightarrow \mathbb{R}$ and $g: \mathbb{R} \rightarrow \mathbb{R}$ be defined by

\[
f(x)=e^{x-1}-e^{-|x-1|} \quad \text { and } \quad g(x)=\frac{1}{2}\left(e^{x-1}+e^{1-x}\right)
\]

Then the area of the region in the first quadrant bounded by the curves $y=f(x), y=g(x)$ and $x=0$ is","Let the functions $f: \mathbb{R} \rightarrow \mathbb{R}$ and $g: \mathbb{R} \rightarrow \mathbb{R}$ be defined by

\[
f(x)=e^{x-1}-e^{-|x-1|} \quad \text { and } \quad g(x)=\frac{1}{2}\left(e^{x-1}+e^{1-x}\right)
\]

Then the area of the region in the first quadrant bounded by the curves $y=f(x), y=g(x)$ and $x=0$ is

(A) $(2-\sqrt{3})+\frac{1}{2}\left(e-e^{-1}\right)$

(B) $(2+\sqrt{3})+\frac{1}{2}\left(e-e^{-1}\right)$

(C) $(2-\sqrt{3})+\frac{1}{2}\left(e+e^{-1}\right)$

(D) $(2+\sqrt{3})+\frac{1}{2}\left(e+e^{-1}\right)$","{""A"": ""$(2-\\sqrt{3})+\\frac{1}{2}\\left(e-e^{-1}\\right)$"", ""B"": ""$(2+\\sqrt{3})+\\frac{1}{2}\\left(e-e^{-1}\\right)$"", ""C"": ""$(2-\\sqrt{3})+\\frac{1}{2}\\left(e+e^{-1}\\right)$"", ""D"": ""$(2+\\sqrt{3})+\\frac{1}{2}\\left(e+e^{-1}\\right)$""}",no
105,JEE Adv 2020 Paper 1,MCQ,A,"Let $a, b$ and $\lambda$ be positive real numbers. Suppose $P$ is an end point of the latus rectum of the parabola $y^{2}=4 \lambda x$, and suppose the ellipse $\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1$ passes through the point $P$. If the tangents to the parabola and the ellipse at the point $P$ are perpendicular to each other, then the eccentricity of the ellipse is","Let $a, b$ and $\lambda$ be positive real numbers. Suppose $P$ is an end point of the latus rectum of the parabola $y^{2}=4 \lambda x$, and suppose the ellipse $\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1$ passes through the point $P$. If the tangents to the parabola and the ellipse at the point $P$ are perpendicular to each other, then the eccentricity of the ellipse is

(A) $\frac{1}{\sqrt{2}}$

(B) $\frac{1}{2}$

(C) $\frac{1}{3}$

(D) $\frac{2}{5}$","{""A"": ""$\\frac{1}{\\sqrt{2}}$"", ""B"": ""$\\frac{1}{2}$"", ""C"": ""$\\frac{1}{3}$"", ""D"": ""$\\frac{2}{5}$""}",no
106,JEE Adv 2020 Paper 1,MCQ,B,"Let $C_{1}$ and $C_{2}$ be two biased coins such that the probabilities of getting head in a single toss are $\frac{2}{3}$ and $\frac{1}{3}$, respectively. Suppose $\alpha$ is the number of heads that appear when $C_{1}$ is tossed twice, independently, and suppose $\beta$ is the number of heads that appear when $C_{2}$ is tossed twice, independently. Then the probability that the roots of the quadratic polynomial $x^{2}-\alpha x+\beta$ are real and equal, is","Let $C_{1}$ and $C_{2}$ be two biased coins such that the probabilities of getting head in a single toss are $\frac{2}{3}$ and $\frac{1}{3}$, respectively. Suppose $\alpha$ is the number of heads that appear when $C_{1}$ is tossed twice, independently, and suppose $\beta$ is the number of heads that appear when $C_{2}$ is tossed twice, independently. Then the probability that the roots of the quadratic polynomial $x^{2}-\alpha x+\beta$ are real and equal, is

(A) $\frac{40}{81}$

(B) $\frac{20}{81}$

(C) $\frac{1}{2}$

(D) $\frac{1}{4}$","{""A"": ""$\\frac{40}{81}$"", ""B"": ""$\\frac{20}{81}$"", ""C"": ""$\\frac{1}{2}$"", ""D"": ""$\\frac{1}{4}$""}",no
107,JEE Adv 2020 Paper 1,MCQ,C,"Consider all rectangles lying in the region

\[
\left\{(x, y) \in \mathbb{R} \times \mathbb{R}: 0 \leq x \leq \frac{\pi}{2} \text { and } 0 \leq y \leq 2 \sin (2 x)\right\}
\]

and having one side on the $x$-axis. The area of the rectangle which has the maximum perimeter among all such rectangles, is","Consider all rectangles lying in the region

\[
\left\{(x, y) \in \mathbb{R} \times \mathbb{R}: 0 \leq x \leq \frac{\pi}{2} \text { and } 0 \leq y \leq 2 \sin (2 x)\right\}
\]

and having one side on the $x$-axis. The area of the rectangle which has the maximum perimeter among all such rectangles, is

(A) $\frac{3 \pi}{2}$

(B) $\pi$

(C) $\frac{\pi}{2 \sqrt{3}}$

(D) $\frac{\pi \sqrt{3}}{2}$","{""A"": ""$\\frac{3 \\pi}{2}$"", ""B"": ""$\\pi$"", ""C"": ""$\\frac{\\pi}{2 \\sqrt{3}}$"", ""D"": ""$\\frac{\\pi \\sqrt{3}}{2}$""}",no
108,JEE Adv 2020 Paper 1,MCQ(multiple),AC,Let the function $f: \mathbb{R} \rightarrow \mathbb{R}$ be defined by $f(x)=x^{3}-x^{2}+(x-1) \sin x$ and let $g: \mathbb{R} \rightarrow \mathbb{R}$ be an arbitrary function. Let $f g: \mathbb{R} \rightarrow \mathbb{R}$ be the product function defined by $(f g)(x)=f(x) g(x)$. Then which of the following statements is/are TRUE?,"Let the function $f: \mathbb{R} \rightarrow \mathbb{R}$ be defined by $f(x)=x^{3}-x^{2}+(x-1) \sin x$ and let $g: \mathbb{R} \rightarrow \mathbb{R}$ be an arbitrary function. Let $f g: \mathbb{R} \rightarrow \mathbb{R}$ be the product function defined by $(f g)(x)=f(x) g(x)$. Then which of the following statements is/are TRUE?

(A) If $g$ is continuous at $x=1$, then $f g$ is differentiable at $x=1$

(B) If $f g$ is differentiable at $x=1$, then $g$ is continuous at $x=1$

(C) If $g$ is differentiable at $x=1$, then $f g$ is differentiable at $x=1$

(D) If $f g$ is differentiable at $x=1$, then $g$ is differentiable at $x=1$","{""A"": ""If $g$ is continuous at $x=1$, then $f g$ is differentiable at $x=1$"", ""B"": ""If $f g$ is differentiable at $x=1$, then $g$ is continuous at $x=1$"", ""C"": ""If $g$ is differentiable at $x=1$, then $f g$ is differentiable at $x=1$"", ""D"": ""If $f g$ is differentiable at $x=1$, then $g$ is differentiable at $x=1$""}",no
109,JEE Adv 2020 Paper 1,MCQ(multiple),BCD,"Let $M$ be a $3 \times 3$ invertible matrix with real entries and let $I$ denote the $3 \times 3$ identity matrix. If $M^{-1}=\operatorname{adj}(\operatorname{adj} M)$, then which of the following statements is/are ALWAYS TRUE?","Let $M$ be a $3 \times 3$ invertible matrix with real entries and let $I$ denote the $3 \times 3$ identity matrix. If $M^{-1}=\operatorname{adj}(\operatorname{adj} M)$, then which of the following statements is/are ALWAYS TRUE?

(A) $M=I$

(B) $\operatorname{det} M=1$

(C) $M^{2}=I$

(D) $(\operatorname{adj} M)^{2}=I$","{""A"": ""$M=I$"", ""B"": ""$\\operatorname{det} M=1$"", ""C"": ""$M^{2}=I$"", ""D"": ""$(\\operatorname{adj} M)^{2}=I$""}",no
110,JEE Adv 2020 Paper 1,MCQ(multiple),BC,Let $S$ be the set of all complex numbers $z$ satisfying $\left|z^{2}+z+1\right|=1$. Then which of the following statements is/are TRUE?,"Let $S$ be the set of all complex numbers $z$ satisfying $\left|z^{2}+z+1\right|=1$. Then which of the following statements is/are TRUE?

(A) $\left|z+\frac{1}{2}\right| \leq \frac{1}{2}$ for all $z \in S$

(B) $|z| \leq 2$ for all $z \in S$

(C) $\left|z+\frac{1}{2}\right| \geq \frac{1}{2}$ for all $z \in S$

(D) The set $S$ has exactly four elements","{""A"": ""$\\left|z+\\frac{1}{2}\\right| \\leq \\frac{1}{2}$ for all $z \\in S$"", ""B"": ""$|z| \\leq 2$ for all $z \\in S$"", ""C"": ""$\\left|z+\\frac{1}{2}\\right| \\geq \\frac{1}{2}$ for all $z \\in S$"", ""D"": ""The set $S$ has exactly four elements""}",no
111,JEE Adv 2020 Paper 1,MCQ(multiple),BC,"Let $x, y$ and $z$ be positive real numbers. Suppose $x, y$ and $z$ are the lengths of the sides of a triangle opposite to its angles $X, Y$ and $Z$, respectively. If

\[
\tan \frac{X}{2}+\tan \frac{Z}{2}=\frac{2 y}{x+y+z}
\]

then which of the following statements is/are TRUE?","Let $x, y$ and $z$ be positive real numbers. Suppose $x, y$ and $z$ are the lengths of the sides of a triangle opposite to its angles $X, Y$ and $Z$, respectively. If

\[
\tan \frac{X}{2}+\tan \frac{Z}{2}=\frac{2 y}{x+y+z}
\]

then which of the following statements is/are TRUE?

(A) $2 Y=X+Z$

(B) $Y=X+Z$

(C) $\tan \frac{x}{2}=\frac{x}{y+z}$

(D) $x^{2}+z^{2}-y^{2}=x z$","{""A"": ""$2 Y=X+Z$"", ""B"": ""$Y=X+Z$"", ""C"": ""$\\tan \\frac{x}{2}=\\frac{x}{y+z}$"", ""D"": ""$x^{2}+z^{2}-y^{2}=x z$""}",no
112,JEE Adv 2020 Paper 1,MCQ(multiple),AB,"Let $L_{1}$ and $L_{2}$ be the following straight lines.

\[
L_{1}: \frac{x-1}{1}=\frac{y}{-1}=\frac{z-1}{3} \text { and } L_{2}: \frac{x-1}{-3}=\frac{y}{-1}=\frac{z-1}{1}
\]

Suppose the straight line

\[
L: \frac{x-\alpha}{l}=\frac{y-1}{m}=\frac{z-\gamma}{-2}
\]

lies in the plane containing $L_{1}$ and $L_{2}$, and passes through the point of intersection of $L_{1}$ and $L_{2}$. If the line $L$ bisects the acute angle between the lines $L_{1}$ and $L_{2}$, then which of the following statements is/are TRUE?","Let $L_{1}$ and $L_{2}$ be the following straight lines.

\[
L_{1}: \frac{x-1}{1}=\frac{y}{-1}=\frac{z-1}{3} \text { and } L_{2}: \frac{x-1}{-3}=\frac{y}{-1}=\frac{z-1}{1}
\]

Suppose the straight line

\[
L: \frac{x-\alpha}{l}=\frac{y-1}{m}=\frac{z-\gamma}{-2}
\]

lies in the plane containing $L_{1}$ and $L_{2}$, and passes through the point of intersection of $L_{1}$ and $L_{2}$. If the line $L$ bisects the acute angle between the lines $L_{1}$ and $L_{2}$, then which of the following statements is/are TRUE?

(A) $\alpha-\gamma=3$

(B) $l+m=2$

(C) $\alpha-\gamma=1$

(D) $l+m=0$","{""A"": ""$\\alpha-\\gamma=3$"", ""B"": ""$l+m=2$"", ""C"": ""$\\alpha-\\gamma=1$"", ""D"": ""$l+m=0$""}",no
113,JEE Adv 2020 Paper 1,MCQ(multiple),ABD,Which of the following inequalities is/are TRUE?,"Which of the following inequalities is/are TRUE?

(A) $\int_{0}^{1} x \cos x d x \geq \frac{3}{8}$

(B) $\int_{0}^{1} x \sin x d x \geq \frac{3}{10}$

(C) $\int_{0}^{1} x^{2} \cos x d x \geq \frac{1}{2}$

(D) $\int_{0}^{1} x^{2} \sin x d x \geq \frac{2}{9}$","{""A"": ""$\\int_{0}^{1} x \\cos x d x \\geq \\frac{3}{8}$"", ""B"": ""$\\int_{0}^{1} x \\sin x d x \\geq \\frac{3}{10}$"", ""C"": ""$\\int_{0}^{1} x^{2} \\cos x d x \\geq \\frac{1}{2}$"", ""D"": ""$\\int_{0}^{1} x^{2} \\sin x d x \\geq \\frac{2}{9}$""}",no
